board,NS,EW,bid,by,lead,tricks,score,NS_pts,EW_pts
1,139,140,4♠*,N,Q♥,9,-100,12.18,131.82
1,143,144,5♥,W,1♣0,8,150,111.54,32.46
2,1,2,2♠,W,7♥,7,50,89.24,54.76
2,5,6,3♠,E,A♦,8,50,89.24,54.76
2,9,10,2♠,W,7♥,8,-110,41.58,102.42
2,13,14,3♦,N,K♣,8,-100,63.89,80.11
2,17,18,2♥,S,6♣,6,-200,8.13,135.88
2,21,22,1♥,S,6♣,8,110,133.85,10.15
2,25,26,2♥,S,J♦,7,-100,63.89,80.11
2,29,30,2♦,N,A♣,8,90,117.63,26.38
2,33,34,3♥,S,1♠0,7,-200,8.13,135.88
2,37,38,2♣,E,A♥,7,50,89.24,54.76
2,41,42,4♠,E,A♥,8,100,124.72,19.28
2,45,46,3♥,S,6♠,6,-300,4.07,139.93
2,49,50,2♥,S,Q♣,7,-100,63.89,80.11
2,53,54,2♠,E,A♥,8,-110,41.58,102.42
2,57,58,1♥,S,J♦,7,80,111.54,32.46
2,61,62,4♠*,E,K♥,8,300,143.99,0.01
2,65,66,3♦,N,A♠,8,-100,63.89,80.11
2,69,70,2♠,W,7♥,7,50,89.24,54.76
2,73,74,1♥,S,6♣,7,80,111.54,32.46
2,77,78,2♠,E,A♦,8,-110,41.58,102.42
2,81,82,2♠,E,K♥,8,-110,41.58,102.42
2,85,86,3♠,E,K♦,8,50,89.24,54.76
2,89,90,2♠,E,A♥,8,-110,41.58,102.42
2,93,94,2♠,E,K♦,7,50,89.24,54.76
2,97,98,3♥,S,5♠,9,140,139.93,4.07
2,101,102,VOID,-,-,-,-,-,-
2,105,106,2♥,S,J♦,7,-100,63.89,80.11
2,109,110,2♠,E,A♥,8,-110,41.58,102.42
2,113,114,3♣,E,A♥,7,100,124.72,19.28
2,117,118,4♠,E,A♦,9,50,89.24,54.76
2,121,122,2♦,N,A♣,8,90,117.63,26.38
2,125,126,2♠,E,A♥,8,-110,41.58,102.42
2,129,130,3♠,E,K♥,8,50,89.24,54.76
2,133,134,1NT*,E,6♥,9,-380,2.04,141.96
2,137,138,3♠,E,K♥,8,50,89.24,54.76
2,141,142,3♠,W,7♥,9,-140,20.29,123.71
2,145,146,3♠,W,7♥,8,50,89.24,54.76
2,3,4,1NT,W,7♥,9,-150,15.22,128.78
2,7,8,2♦,N,A♣,8,90,117.63,26.38
2,11,12,2♠,E,A♦,7,50,89.24,54.76
2,15,16,1♠,E,A♥,10,-170,12.18,131.82
2,19,20,3♠,E,A♦,9,-140,20.29,123.71
2,23,24,2♠,E,A♥,7,50,89.24,54.76
2,27,28,3♠,E,K♥,8,50,89.24,54.76
2,31,32,3♠,E,A♥,8,50,89.24,54.76
2,35,36,1NT,E,A♥,9,-150,15.22,128.78
2,39,40,2♦,N,A♣,7,-100,63.89,80.11
2,43,44,4♦*,S,3♠,8,-500,0.01,143.99
2,47,48,2♠,E,A♥,8,-110,41.58,102.42
2,51,52,2♥,S,2♣,8,110,133.85,10.15
2,55,56,2♥,S,J♦,8,110,133.85,10.15
2,59,60,1NT,E,6♥,8,-120,24.35,119.65
2,63,64,3♠,W,7♥,8,50,89.24,54.76
2,67,68,2♥*,S,J♦,7,-200,8.13,135.88
2,71,72,1♠,E,A♥,8,-110,41.58,102.42
2,75,76,2♠,E,A♦,8,-110,41.58,102.42
2,79,80,3♦,N,A♠,9,110,133.85,10.15
2,83,84,4♠,E,A♥,7,150,141.96,2.04
2,87,88,3♠,E,A♦,8,50,89.24,54.76
2,91,92,2♠,E,A♥,8,-110,41.58,102.42
2,95,96,3♠,W,7♥,7,100,124.72,19.28
2,99,100,3♠,E,A♥,9,-140,20.29,123.71
2,103,104,1♠,E,K♥,8,-110,41.58,102.42
2,107,108,2♠,W,7♥,8,-110,41.58,102.42
2,111,112,3♠,E,A♥,8,50,89.24,54.76
2,115,116,1♠,W,7♥,8,-110,41.58,102.42
2,119,120,2♠,E,K♥,8,-110,41.58,102.42
2,123,124,1♥,S,6♣,7,80,111.54,32.46
2,127,128,2♠,E,A♥,8,-110,41.58,102.42
2,131,132,2♠,E,K♥,7,50,89.24,54.76
2,135,136,2♠,E,A♥,7,50,89.24,54.76
2,139,140,3♠,E,A♦,7,100,124.72,19.28
2,143,144,1♥,S,J♦,8,110,133.85,10.15
3,1,2,2♦,W,9♠,9,-110,62.88,81.13
3,5,6,2♣,S,7♥,7,-50,113.57,30.43
3,9,10,2♥,E,A♣,7,100,131.82,12.18
3,13,14,1NT,N,4♥,7,90,127.76,16.24
3,17,18,3♣,S,7♥,6,-150,17.25,126.75
3,21,22,3♣,S,7♥,8,-50,113.57,30.43
3,25,26,2♦,W,9♠,8,-90,101.4,42.6
3,29,30,3♦,W,9♠,11,-150,17.25,126.75
3,33,34,1NT,N,4♥,5,-100,86.19,57.81
3,37,38,2♦,W,3♣,9,-110,62.88,81.13
3,41,42,3♦,E,A♣,10,-130,39.56,104.44
3,45,46,2♣*,S,J♦,5,-500,2.04,141.96
3,49,50,2♣,S,J♦,7,-50,113.57,30.43
3,53,54,3♣,S,7♥,7,-100,86.19,57.81
3,57,58,2♣,S,J♦,7,-50,113.57,30.43
3,61,62,2♣,S,J♦,8,90,127.76,16.24
3,65,66,2♠,S,9♥,7,-50,113.57,30.43
3,69,70,3♣*,S,7♥,7,-300,6.1,137.9
3,73,74,2♦,W,9♠,10,-130,39.56,104.44
3,77,78,2♥,N,5♣,8,110,133.85,10.15
3,81,82,2♣,S,J♦,6,-100,86.19,57.81
3,85,86,2♦,W,9♠,10,-130,39.56,104.44
3,89,90,1NT,N,7♦,6,-50,113.57,30.43
3,93,94,2♦,W,9♠,10,-130,39.56,104.44
3,97,98,2♣,S,7♥,8,90,127.76,16.24
3,101,102,VOID,-,-,-,-,-,-
3,105,106,3♦,W,9♠,10,-130,39.56,104.44
3,109,110,3♣,S,J♦,6,-150,17.25,126.75
3,113,114,2♣,S,J♦,7,-50,113.57,30.43
3,117,118,2♠,S,7♥,6,-100,86.19,57.81
3,121,122,1NT,N,4♥,5,-100,86.19,57.81
3,125,126,4♥*,N,5♣,6,-800,0.01,143.99
3,129,130,3♣,S,J♦,6,-150,17.25,126.75
3,133,134,2♠,S,J♦,5,-150,17.25,126.75
3,137,138,3♣,S,7♥,7,-100,86.19,57.81
3,141,142,2♠,S,7♥,7,-50,113.57,30.43
3,145,146,2♦,W,9♠,9,-110,62.88,81.13
3,3,4,4♣,S,8♠,9,-50,113.57,30.43
3,7,8,4♦,W,9♠,10,-130,39.56,104.44
3,11,12,2♦,W,9♠,10,-130,39.56,104.44
3,15,16,2♠,S,J♦,5,-150,17.25,126.75
3,19,20,1NT,N,7♦,8,120,138.92,5.08
3,23,24,2♣,S,7♥,6,-100,86.19,57.81
3,27,28,3♦,W,9♠,10,-130,39.56,104.44
3,31,32,2♠,S,J♦,6,-100,86.19,57.81
3,35,36,2♦,W,9♠,10,-130,39.56,104.44
3,39,40,3♦,E,K♣,10,-130,39.56,104.44
3,43,44,2♦,W,2♠,9,-110,62.88,81.13
3,47,48,1NT,N,4♥,8,120,138.92,5.08
3,51,52,3♣,S,2♣,7,-100,86.19,57.81
3,55,56,2♠,S,7♥,6,-100,86.19,57.81
3,59,60,3♣,S,J♦,7,-100,86.19,57.81
3,63,64,3♦,W,9♠,9,-110,62.88,81.13
3,67,68,3♣,S,7♥,6,-150,17.25,126.75
3,71,72,3NT,E,A♣,7,200,143.99,0.01
3,75,76,3♦,W,2♠,9,-110,62.88,81.13
3,79,80,2♣,S,4♣,5,-150,17.25,126.75
3,83,84,2♦*,W,9♠,9,-380,4.07,139.93
3,87,88,4♦,W,9♠,10,-130,39.56,104.44
3,91,92,2♦,W,9♠,9,-110,62.88,81.13
3,95,96,2♣*,S,7♥,7,-100,86.19,57.81
3,99,100,2♦,W,9♠,9,-110,62.88,81.13
3,103,104,2♣,N,7♥,7,-50,113.57,30.43
3,107,108,3♦,W,9♠,9,-110,62.88,81.13
3,111,112,3♣,S,J♦,6,-150,17.25,126.75
3,115,116,3♦,W,9♠,10,-130,39.56,104.44
3,119,120,2NT,E,J♠,8,-120,52.74,91.26
3,123,124,2♣,S,J♦,7,-50,113.57,30.43
3,127,128,1NT,N,K♠,8,120,138.92,5.08
3,131,132,1NT,N,4♥,8,120,138.92,5.08
3,135,136,3NT,N,7♦,6,-150,17.25,126.75
3,139,140,2♠,S,J♦,6,-100,86.19,57.81
3,143,144,3♣,S,7♥,7,-100,86.19,57.81
4,1,2,3♥,E,3♥,10,-170,56.79,87.21
4,5,6,4♥,W,8♠,9,100,136.89,7.11
4,9,10,3♥,E,6♠,9,-140,93.29,50.71
4,13,14,3♥,E,J♦,10,-170,56.79,87.21
4,17,18,2♥,W,8♠,11,-200,26.38,117.63
4,21,22,3♥,E,6♥,10,-170,56.79,87.21
4,25,26,1NT,W,2♦,8,-120,118.64,25.36
4,29,30,2♥,W,8♠,11,-200,26.38,117.63
4,33,34,3♥,E,6♥,9,-140,93.29,50.71
4,37,38,2♥,W,2♦,10,-170,56.79,87.21
4,41,42,3NT,W,4♠,10,-630,5.08,138.92
4,45,46,2♠,N,1♥0,6,-200,26.38,117.63
4,49,50,1NT,W,8♠,8,-120,118.64,25.36
4,53,54,3♥,W,8♠,10,-170,56.79,87.21
4,57,58,2♥,W,8♠,10,-170,56.79,87.21
4,61,62,3♥,E,6♥,9,-140,93.29,50.71
4,65,66,2♥,W,9♠,10,-170,56.79,87.21
4,69,70,2♥,W,9♠,9,-140,93.29,50.71
4,73,74,4♥,E,J♦,10,-620,11.17,132.83
4,77,78,2♠,N,6♣,7,-100,127.76,16.24
4,81,82,2♥*,W,9♠,10,-1070,2.04,141.96
4,85,86,2♥,W,8♠,9,-140,93.29,50.71
4,89,90,4♥,E,J♦,10,-620,11.17,132.83
4,93,94,3♥,E,6♥,9,-140,93.29,50.71
4,97,98,2♥,W,5♦,10,-170,56.79,87.21
4,101,102,VOID,-,-,-,-,-,-
4,105,106,1NT,W,8♠,8,-120,118.64,25.36
4,109,110,4♥,W,8♠,9,100,136.89,7.11
4,113,114,3♥,W,2♦,10,-170,56.79,87.21
4,117,118,3♥,W,9♠,10,-170,56.79,87.21
4,121,122,2NT,W,2♦,8,-120,118.64,25.36
4,125,126,2♥,W,9♠,11,-200,26.38,117.63
4,129,130,2♥,W,8♠,10,-170,56.79,87.21
4,133,134,1NT,W,2♦,8,-120,118.64,25.36
4,137,138,3♣*,S,K♥,4,-1400,0.01,143.99
4,141,142,2♥,W,8♠,9,-140,93.29,50.71
4,145,146,1NT,W,2♦,8,-120,118.64,25.36
4,3,4,4♥,E,6♥,10,-620,11.17,132.83
4,7,8,3♥,W,8♠,10,-170,56.79,87.21
4,11,12,2♥,W,2♦,10,-170,56.79,87.21
4,15,16,2♥,E,J♦,9,-140,93.29,50.71
4,19,20,1NT,W,8♠,10,-180,38.54,105.46
4,23,24,2♥,E,6♥,10,-170,56.79,87.21
4,27,28,3♥,E,6♥,8,100,136.89,7.11
4,31,32,2♥,W,4♠,9,-140,93.29,50.71
4,35,36,3♥,W,8♠,11,-200,26.38,117.63
4,39,40,3NT,W,Q♣,10,-630,5.08,138.92
4,43,44,2♥,W,8♠,8,-110,125.74,18.26
4,47,48,2♥,W,9♠,11,-200,26.38,117.63
4,51,52,3♥,E,2♣,10,-170,56.79,87.21
4,55,56,2♥,W,2♦,10,-170,56.79,87.21
4,59,60,2♥,W,2♥,9,-140,93.29,50.71
4,63,64,2♥,W,4♣,11,-200,26.38,117.63
4,67,68,2♥,E,J♦,9,-140,93.29,50.71
4,71,72,2♥,W,9♠,9,-140,93.29,50.71
4,75,76,3♥,W,9♠,8,100,136.89,7.11
4,79,80,2♥,W,8♠,7,100,136.89,7.11
4,83,84,2♥,W,8♠,11,-200,26.38,117.63
4,87,88,2♥,E,J♦,9,-140,93.29,50.71
4,91,92,4♥,E,6♥,9,100,136.89,7.11
4,95,96,2♥,W,9♠,9,-140,93.29,50.71
4,99,100,2♥,W,2♦,9,-140,93.29,50.71
4,103,104,3♥,W,Q♣,9,-140,93.29,50.71
4,107,108,2♥,E,J♦,11,-200,26.38,117.63
4,111,112,2♥,W,8♠,11,-200,26.38,117.63
4,115,116,2♥,W,9♠,11,-200,26.38,117.63
4,119,120,4♥,W,8♠,10,-620,11.17,132.83
4,123,124,3♥,E,6♠,9,-140,93.29,50.71
4,127,128,3♥,W,Q♣,9,-140,93.29,50.71
4,131,132,2♥,W,9♠,9,-140,93.29,50.71
4,135,136,3NT,E,J♦,7,200,143.99,0.01
4,139,140,2♥,W,2♦,10,-170,56.79,87.21
4,143,144,1NT,W,2♦,7,-90,129.79,14.21
5,1,2,2♠,N,1♥0,5,-300,39.56,104.44
5,5,6,2♠,N,1♥0,5,-300,39.56,104.44
5,9,10,2♥,E,5♠,10,-170,94.31,49.69
5,13,14,2♥,W,2♣,10,-170,94.31,49.69
5,17,18,3♥,W,5♠,10,-170,94.31,49.69
5,21,22,3♥,W,J♠,11,-200,61.86,82.14
5,25,26,2♠,N,1♥0,5,-300,39.56,104.44
5,29,30,4♥,E,3♦,10,-420,14.21,129.79
5,33,34,3♥,E,4♠,11,-200,61.86,82.14
5,37,38,3♥,E,5♣,9,-140,121.68,22.32
5,41,42,2♥,W,6♠,10,-170,94.31,49.69
5,45,46,2♥,W,5♠,8,-110,132.83,11.17
5,49,50,2♠,N,1♥0,5,-300,39.56,104.44
5,53,54,2♠,N,9♥,6,-200,61.86,82.14
5,57,58,4♥,W,5♠,10,-420,14.21,129.79
5,61,62,3♥,E,3♠,9,-140,121.68,22.32
5,65,66,3NT,W,3♣,9,-400,25.36,118.64
5,69,70,4♥,E,3♠,11,-450,5.08,138.92
5,73,74,3♥,E,3♠,11,-200,61.86,82.14
5,77,78,2♥,E,5♣,9,-140,121.68,22.32
5,81,82,2♠,N,8♥,5,-300,39.56,104.44
5,85,86,2♥,W,3♠,9,-140,121.68,22.32
5,89,90,2♠*,S,2♠,6,-500,0.01,143.99
5,93,94,2♥,E,4♠,11,-200,61.86,82.14
5,97,98,2♥,W,5♠,8,-110,132.83,11.17
5,101,102,VOID,-,-,-,-,-,-
5,105,106,3♣,W,K♥,11,-150,113.57,30.43
5,109,110,2♥,E,3♠,10,-170,94.31,49.69
5,113,114,3NT,W,5♠,9,-400,25.36,118.64
5,117,118,3NT,E,2♠,9,-400,25.36,118.64
5,121,122,3♥,E,3♣,10,-170,94.31,49.69
5,125,126,3♥,W,J♠,11,-200,61.86,82.14
5,129,130,2♥,W,5♠,10,-170,94.31,49.69
5,133,134,2♥,W,5♥,10,-170,94.31,49.69
5,137,138,2♠,N,9♥,5,-300,39.56,104.44
5,141,142,2♠,N,1♥0,6,-200,61.86,82.14
5,145,146,2♥,E,3♦,10,-170,94.31,49.69
5,3,4,3♥,W,5♠,10,-170,94.31,49.69
5,7,8,4♥,E,3♦,11,-450,5.08,138.92
5,11,12,4♥,E,6♦,10,-420,14.21,129.79
5,15,16,2♥,E,3♠,11,-200,61.86,82.14
5,19,20,3♥,E,5♣,10,-170,94.31,49.69
5,23,24,3♥,E,6♥,9,-140,121.68,22.32
5,27,28,2♠,N,8♥,7,-100,139.93,4.07
5,31,32,2♥,E,3♦,10,-170,94.31,49.69
5,35,36,3NT,E,3♦,9,-400,25.36,118.64
5,39,40,3NT,W,2♠,9,-400,25.36,118.64
5,43,44,3♥,E,4♠,10,-170,94.31,49.69
5,47,48,1♦,N,9♥,6,-100,139.93,4.07
5,51,52,1♣,N,2♣,4,-300,39.56,104.44
5,55,56,2♥,E,3♠,8,-110,132.83,11.17
5,59,60,2♠,N,1♥0,7,-100,139.93,4.07
5,63,64,2♥,E,3♦,8,-110,132.83,11.17
5,67,68,4♥,E,4♠,11,-450,5.08,138.92
5,71,72,2♥,W,5♠,9,-140,121.68,22.32
5,75,76,3♥,E,3♠,10,-170,94.31,49.69
5,79,80,3♥,E,4♠,11,-200,61.86,82.14
5,83,84,4♥,E,3♣,11,-450,5.08,138.92
5,87,88,3♥,E,5♣,11,-200,61.86,82.14
5,91,92,3♥,E,4♠,11,-200,61.86,82.14
5,95,96,3♥,E,5♣,11,-200,61.86,82.14
5,99,100,2♥,W,1♦0,9,-140,121.68,22.32
5,103,104,4♥,E,4♠,10,-420,14.21,129.79
5,107,108,3♥,W,J♠,11,-200,61.86,82.14
5,111,112,3NT,W,5♠,9,-400,25.36,118.64
5,115,116,2♥,W,5♠,10,-170,94.31,49.69
5,119,120,4♥,E,4♠,10,-420,14.21,129.79
5,123,124,3♥,W,5♠,10,-170,94.31,49.69
5,127,128,3♥,E,8♦,10,-170,94.31,49.69
5,131,132,4♥,E,3♣,9,50,143.99,0.01
5,135,136,2♠,N,9♥,5,-300,39.56,104.44
5,139,140,2♥,E,3♠,11,-200,61.86,82.14
5,143,144,2♥,E,5♣,10,-170,94.31,49.69
6,1,2,3♥,E,K♦,7,200,111.54,32.46
6,5,6,2♥,E,K♦,7,100,66.93,77.07
6,9,10,1♠,S,Q♠,5,-100,34.49,109.51
6,13,14,2♥,E,K♦,7,100,66.93,77.07
6,17,18,2♥,E,K♦,8,-110,27.39,116.61
6,21,22,3NT,W,5♦,8,100,66.93,77.07
6,25,26,3NT,W,2♠,9,-600,5.08,138.92
6,29,30,2♥,E,K♦,7,100,66.93,77.07
6,33,34,2♠,S,3♣,4,-200,14.21,129.79
6,37,38,3NT,W,2♠,8,100,66.93,77.07
6,41,42,4♥,E,K♦,8,200,111.54,32.46
6,45,46,4♠,W,4♥,9,100,66.93,77.07
6,49,50,4♥,E,K♦,7,300,132.83,11.17
6,53,54,3NT,W,2♠,8,100,66.93,77.07
6,57,58,4♥,E,K♦,7,300,132.83,11.17
6,61,62,4♥*,E,K♦,7,800,143.99,0.01
6,65,66,3♥,E,Q♦,7,200,111.54,32.46
6,69,70,3NT,E,K♦,6,300,132.83,11.17
6,73,74,3♥,E,K♦,7,200,111.54,32.46
6,77,78,4♥,E,1♥0,8,200,111.54,32.46
6,81,82,3♥,E,K♦,7,200,111.54,32.46
6,85,86,2♥,E,K♦,7,100,66.93,77.07
6,89,90,3NT,W,2♠,9,-600,5.08,138.92
6,93,94,1NT,W,2♠,8,-120,19.28,124.72
6,97,98,5♥,E,K♦,7,400,141.96,2.04
6,101,102,VOID,-,-,-,-,-,-
6,105,106,2♥,E,K♦,7,100,66.93,77.07
6,109,110,3♥,E,K♦,7,200,111.54,32.46
6,113,114,2♥,E,K♦,7,100,66.93,77.07
6,117,118,2♥,E,K♦,7,100,66.93,77.07
6,121,122,2♥,E,K♦,7,100,66.93,77.07
6,125,126,4♥,E,K♦,8,200,111.54,32.46
6,129,130,3♦,W,2♠,8,100,66.93,77.07
6,133,134,3NT,W,2♠,9,-600,5.08,138.92
6,137,138,1NT*,N,K♥,4,-500,12.18,131.82
6,141,142,2♥,E,K♦,8,-110,27.39,116.61
6,145,146,3♥,E,Q♦,8,100,66.93,77.07
6,3,4,3NT,W,2♣,8,100,66.93,77.07
6,7,8,2♥,E,K♦,7,100,66.93,77.07
6,11,12,3NT,W,2♠,8,100,66.93,77.07
6,15,16,3♥,E,K♦,7,200,111.54,32.46
6,19,20,4♥,W,2♠,9,100,66.93,77.07
6,23,24,3♥,E,K♦,7,200,111.54,32.46
6,27,28,3♥,E,K♦,8,100,66.93,77.07
6,31,32,2♥,E,K♦,8,-110,27.39,116.61
6,35,36,2♥,E,K♦,7,100,66.93,77.07
6,39,40,4♥,E,K♦,7,300,132.83,11.17
6,43,44,3♥,E,K♦,8,100,66.93,77.07
6,47,48,3♥,E,7♠,9,-140,16.24,127.76
6,51,52,2♥,E,2♣,7,100,66.93,77.07
6,55,56,2♥,E,K♦,7,100,66.93,77.07
6,59,60,3NT,W,2♣,6,300,132.83,11.17
6,63,64,3NT,W,2♠,9,-600,5.08,138.92
6,67,68,2♥,E,K♦,7,100,66.93,77.07
6,71,72,2♥,E,K♦,7,100,66.93,77.07
6,75,76,4♥,E,K♦,7,300,132.83,11.17
6,79,80,3♥,E,K♦,7,200,111.54,32.46
6,83,84,2♥,E,K♦,7,100,66.93,77.07
6,87,88,4♥,E,K♦,7,300,132.83,11.17
6,91,92,3NT,W,2♣,7,200,111.54,32.46
6,95,96,2♥,E,K♦,7,100,66.93,77.07
6,99,100,2♥,E,K♦,7,100,66.93,77.07
6,103,104,3NT,W,2♣,7,200,111.54,32.46
6,107,108,3NT,E,K♦,9,-600,5.08,138.92
6,111,112,2♥,E,K♦,7,100,66.93,77.07
6,115,116,2♥,E,K♦,7,100,66.93,77.07
6,119,120,2NT,W,2♠,8,-120,19.28,124.72
6,123,124,2♥,E,K♦,8,-110,27.39,116.61
6,127,128,3NT,W,2♠,8,100,66.93,77.07
6,131,132,4♥,E,K♦,7,300,132.83,11.17
6,135,136,2♥,E,K♦,8,-110,27.39,116.61
6,139,140,3NT,W,2♠,9,-600,5.08,138.92
6,143,144,2♥,E,K♦,8,-110,27.39,116.61
7,1,2,2♥,N,Q♣,7,-100,72,72
7,5,6,2♥,S,A♣,7,-100,72,72
7,9,10,2NT*,W,1♥0,7,200,131.82,12.18
7,13,14,3♣,W,A♠,9,-110,62.88,81.13
7,17,18,3♣*,W,1♥0,10,-870,0.01,143.99
7,21,22,2♠,N,4♣,5,-300,15.22,128.78
7,25,26,2♥,S,K♣,8,110,108.5,35.5
7,29,30,2NT,W,2♣,9,-150,35.5,108.5
7,33,34,2♥,S,A♣,8,110,108.5,35.5
7,37,38,2♥,S,K♣,9,140,119.65,24.35
7,41,42,2NT,W,1♥0,10,-180,24.35,119.65
7,45,46,1NT,W,2♦,10,-180,24.35,119.65
7,49,50,1NT,W,4♥,9,-150,35.5,108.5
7,53,54,3NT,E,4♥,8,100,90.25,53.75
7,57,58,1NT,E,6♥,9,-150,35.5,108.5
7,61,62,2NT,E,3♠,8,-120,50.71,93.29
7,65,66,2♥*,S,A♣,8,670,140.94,3.06
7,69,70,2NT,E,3♠,8,-120,50.71,93.29
7,73,74,3NT,W,1♥0,7,200,131.82,12.18
7,77,78,2NT,E,3♠,7,100,90.25,53.75
7,81,82,2♠,W,1♥0,6,200,131.82,12.18
7,85,86,3NT,E,A♦,8,100,90.25,53.75
7,89,90,2♣,S,5♠,4,-400,12.18,131.82
7,93,94,1NT,W,A♠,8,-120,50.71,93.29
7,97,98,2♠,N,Q♣,9,140,119.65,24.35
7,101,102,VOID,-,-,-,-,-,-
7,105,106,3NT,E,4♥,9,-600,8.13,135.88
7,109,110,3NT,E,4♠,9,-600,8.13,135.88
7,113,114,3♣,E,A♦,9,-110,62.88,81.13
7,117,118,2NT,E,3♥,8,-120,50.71,93.29
7,121,122,2♥,S,A♣,9,140,119.65,24.35
7,125,126,2NT,W,1♥0,9,-150,35.5,108.5
7,129,130,2NT,W,1♥0,8,-120,50.71,93.29
7,133,134,2NT,W,2♦,9,-150,35.5,108.5
7,137,138,1NT,W,A♠,8,-120,50.71,93.29
7,141,142,2♥,S,A♣,7,-100,72,72
7,145,146,2♥*,S,A♣,9,870,143.99,0.01
7,3,4,3NT,W,1♥0,7,200,131.82,12.18
7,7,8,3NT,E,4♠,8,100,90.25,53.75
7,11,12,3NT,E,4♥,10,-630,3.06,140.94
7,15,16,2♠,N,6♠,5,-300,15.22,128.78
7,19,20,2NT,W,1♥0,7,100,90.25,53.75
7,23,24,3♥,S,A♣,7,-200,18.26,125.74
7,27,28,2♥,S,A♣,9,140,119.65,24.35
7,31,32,3NT,E,5♣,8,100,90.25,53.75
7,35,36,3NT,W,A♠,8,100,90.25,53.75
7,39,40,2♥,S,A♣,8,110,108.5,35.5
7,43,44,3♣,E,A♦,9,-110,62.88,81.13
